"","partial.name","regex","full.name"
"11974","HUAWEI","huawei",""
"11975","AMADEUS","amadeus",""
"11976","UNWTO","unwto",""
"11977","CLIA","clia",""
"11978","ACI EUROPE","aci europe",""
"11979","VODAFONE","vodafone",""
"11980","DIAGEO","diageo",""
"11981"," SPIRITS EUROPE","spirits europe",""
"11982","AICP","aicp",""
"11983","ETC","etc",""
"11984","WTTC","wttc",""
"11985"," UNWTO","unwto",""
"11986","ECA","eca",""
"11987"," FMC","fmc",""
"11988"," Commissioner Mariya Gabriel","commissioner mariya gabriel",""
"11989","Fipra","fipra",""
"11990"," WTTC","wttc",""
"11991","FIPRA","fipra",""
"11992","Massay-Kosubek Zoltán (EPHA)","massay kosubek zoltán epha",""
"11993","Panagiotis Chaslaridis (EFANET)","panagiotis chaslaridis efanet",""
"11994","Zurab Pololikashvili - UNWTO","zurab pololikashvili unwto",""
"11995","Annabell Seebohm - CPME","annabell seebohm cpme",""
"11996","European Friends of Scotland","european friends of scotland",""
"11997","Necstour","necstour",""
"11998","Royal Caribean Cruise","royal caribean cruise",""
"11999","FITUR","fitur",""
"12000","EURAIL","eurail",""
"12001","Iran Mission to the EU","iran mission to the eu",""
"12002","Representacion Permanente de Espana ante la UE","representacion permanente de espana ante la ue",""
"12003","Senior Researcher Tampere University","senior researcher tampere university",""
"12004","SURFRIDER","surfrider",""
"12005","EQUIS Justice for Women-Mexico","equis justice for women mexico",""
"12006","Sustainability Accounting Standards Board Foundation (SASB)","sustainability accounting standards board foundation sasb",""
"12007"," 919658238467-83","919658238467 83",""
"12008","HRW Human Rights Watch","hrw human rights watch",""
"12009","Heinrich Boll Foundation and EU-LAT.","heinrich boll foundation and eu lat",""
"12010","ASAMBLEA DE COOPERACIÓN POR LA PAZ","asamblea de cooperación por la paz",""
"12011","Associació Catalana per a la Defensa dels Drets Humans","associació catalana per a la defensa dels drets humans",""
"12012","Federació de Cooperatives Agràries de Catalunya.","federació de cooperatives agràries de catalunya",""
"12013","Plataforma Representative of Aigua es Vida/Ecologistas en Accion.","plataforma representative of aigua es vida ecologistas en accion",""
"12014","Information on the EP and MEP 's files.","information on the ep and mep s files",""
"12015","Municipalize Europe.","municipalize europe",""
"12016","TNI","tni",""
"12017"," CEO","ceo",""
"12018","DG Fisma","dg fisma",""
"12019"," European Union and Cooperation of Spain.","european union and cooperation of spain",""
"12020","FEANTSA European Federation of National Organisations Working with the Homeless and Housing Rights Watch..","feantsa european federation of national organisations working with the homeless and housing rights watch",""
"12021","Make Mothers Matter EU Representative.","make mothers matter eu representative",""
"12022","Embassy of the Republic of Cuba.","embassy of the republic of cuba",""
"12023","UK PermRep","uk permrep",""
"12024","Housing for All.","housing for all",""
"12025","Center for Reproductive Rights.","center for reproductive rights",""
"12026","Spanish PermRep","spanish permrep",""
"12027","Government representative of the Kingdom of Saudi Arabia.","government representative of the kingdom of saudi arabia",""
"12028"," Rosa Luxemburg Foundation","rosa luxemburg foundation",""
"12029","Banco de Espana Representative.","banco de espana representative",""
"12030","Town Councillors and NGOs.","town councillors and ngos",""
"12031","Meeting with LGBTI Representative from Brazil.","meeting with lgbti representative from brazil",""
"12032","HRW Human Rights Watch.","hrw human rights watch",""
"12033","Council of Amsterdam.","council of amsterdam",""
"12034","Finance Watch.","finance watch",""
"12035","Relations with countries south of the Mediterranean.","relations with countries south of the mediterranean",""
"12036","EIB representatives","eib representatives",""
"12037","Secretaria de Internacional y Cooperación CCOO","secretaria de internacional y cooperación ccoo",""
"12038","REPER ES","reper es",""
"12039","Polisario Representative to the European Union","polisario representative to the european union",""
"12040","Members of Citizens for Financial Justice","members of citizens for financial justice",""
"12041","Housing for All","housing for all",""
"12042","Consejo General de Colegios Oficiales de Médicos de España (CGCOM)","consejo general de colegios oficiales de médicos de españa cgcom",""
"12043","KELLYS Organisation of hotel cleaning professionals.","kellys organisation of hotel cleaning professionals",""
"12044","FEANTSA European Federation of National Organisations Working with the Homeless.","feantsa european federation of national organisations working with the homeless",""
"12045","Corporate Europa Observatory.","corporate europa observatory",""
"12046","PIMEC EU Permanent Delegation","pimec eu permanent delegation",""
"12047","SEO Birdlife and Clientearth","seo birdlife and clientearth",""
"12048","Australian Ambassador","australian ambassador",""
"12049","OeNB","oenb",""
"12050","Head of Representation of Budapest in Brussels","head of representation of budapest in brussels",""
"12051","Industriellenvereinigung","industriellenvereinigung",""
"12052","ÖBB","öbb",""
"12053","Gemeindebund + Städtebund","gemeindebund städtebund",""
"12054","Magnus Berntsson ssembly of European Regions (AER) and AER Executive members","magnus berntsson ssembly of european regions aer and aer executive members",""
"12055","Valeria Ronzitti","valeria ronzitti",""
"12056"," General Secretary - CEEP","general secretary ceep",""
"12057","Gregor Schusterschitz","gregor schusterschitz",""
"12058"," Stellvertretender Ständiger Vertreter an der Ständigen Vertretung Österreichs bei der EU.","stellvertretender ständiger vertreter an der ständigen vertretung österreichs bei der eu",""
"12059","Adam Pankhurst","adam pankhurst",""
"12060"," Jaeson Wells","jaeson wells",""
"12061","VÖWG","vöwg",""
"12062","Deputy Head of Mission British Embassy Nerys Jones","deputy head of mission british embassy nerys jones",""
"12063","UK Embassy","uk embassy",""
"12064","Europabüro österreichischer Städtebund","europabüro österreichischer städtebund",""
"12065"," Europabüro der baden-württembergischen Kommunen","europabüro der baden württembergischen kommunen",""
"12066"," Europabüro der sächsischen Kommunen","europabüro der sächsischen kommunen",""
"12067","ÖBB-Holding AG","öbb holding ag",""
"12068","Vertreter des ÖGB Europabüro und der AK Europa","vertreter des ögb europabüro und der ak europa",""
"12069","Vertreter der Organisation Südwind","vertreter der organisation südwind",""
"12070","Dr. Karl Müller","dr karl müller",""
"12071"," Ständige Vertretung Österreichs bei der EU","ständige vertretung österreichs bei der eu",""
"12072","Haven van Antwerpen","haven van antwerpen",""
"12073","Svensk sjöfart","svensk sjöfart",""
"12074","Svenska Institutet för Europapolitiska studier(SIEPS)","svenska institutet för europapolitiska studier sieps",""
"12075"," 341410132871-48","341410132871 48",""
"12076","Svenska Naturskyddsföreningen","svenska naturskyddsföreningen",""
"12077","Svenska Pen","svenska pen",""
"12078","Mastercard","mastercard",""
"12079","VLEVA","vleva",""
"12080","Vertegenwoordigers Maggy","vertegenwoordigers maggy",""
"12081","Vertegenwoordigers VBO","vertegenwoordigers vbo",""
"12082","Representatives of US Embassy","representatives of us embassy",""
"12083","Member Board of Directors Belfius Bank","member board of directors belfius bank",""
"12084","Svenska Skogsindustrierna","svenska skogsindustrierna",""
"12085","Natuurpunt","natuurpunt",""
"12086","VKW Limburg","vkw limburg",""
"12087","Professor of Economics at the Northwestern University","professor of economics at the northwestern university",""
"12088","Assistant Professor of Economics at the Loyola University of Maryland","assistant professor of economics at the loyola university of maryland",""
"12089"," Sellinger School of Business","sellinger school of business",""
"12090","Staff of Federal Reserve Bank of Chicago","staff of federal reserve bank of chicago",""
"12091","Professors of Finance and Economics at the University of Chicago Booth School of Business","professors of finance and economics at the university of chicago booth school of business",""
"12092","Professor Economics at the University of Chicago","professor economics at the university of chicago",""
"12093","Professor of Economics","professor of economics",""
"12094"," Public Policy and Finance at Princeton University","public policy and finance at princeton university",""
"12095","Professor at the University of Chicago Booth School of Business","professor at the university of chicago booth school of business",""
"12096","Svenskt Näringsliv - Confederation of Swedish Enterprise","svenskt näringsliv confederation of swedish enterprise",""
"12097","Swedish Defence Research Agency","swedish defence research agency",""
"12098","Itinera","itinera",""
"12099","Skeyes","skeyes",""
"12100","Swedish Ministry for Foreign Affairs","swedish ministry for foreign affairs",""
"12101","Instituut van de bedrijfsrevisoren","instituut van de bedrijfsrevisoren",""
"12102","NMBS","nmbs",""
"12103","European Barge Union (EBU)","european barge union ebu",""
"12104","HSBC","hsbc",""
"12105","BNP Paribas Fortis","bnp paribas fortis",""
"12106","BlackRock","blackrock",""
"12107","Dexia","dexia",""
"12108","KBC","kbc",""
"12109","Swedish Society for Nature Conservation(SSNC)","swedish society for nature conservation ssnc",""
"12110","Vlaamse Volksbeweging","vlaamse volksbeweging",""
"12111"," Touring","touring",""
"12112","Luftansa","luftansa",""
"12113","British Chamber of Commerce - Belgium","british chamber of commerce belgium",""
"12114"," VOKA","voka",""
"12115","Kristof Descheemaeker","kristof descheemaeker",""
"12116"," Johan Coolen","johan coolen",""
"12117","Essencia","essencia",""
"12118","Ministers of Finance of the cohesion countries","ministers of finance of the cohesion countries",""
"12119"," Business stakeholders","business stakeholders",""
"12120","Tatra Summit","tatra summit",""
"12121","UBS","ubs",""
"12122","US Embassy - Pieter-Jan Van Steenkiste","us embassy pieter jan van steenkiste",""
"12123","Inland Navigation Europe","inland navigation europe",""
"12124","Doorbraak","doorbraak",""
"12125","Investment Company Institute (ICI)","investment company institute ici",""
"12126"," Vittorio Grilli","vittorio grilli",""
"12127","Wouter De Geest","wouter de geest",""
"12128","Belgische Redersfederatie","belgische redersfederatie",""
"12129","Anthony De Lannoy - Executive Director IMF","anthony de lannoy executive director imf",""
"12130","CIPL","cipl",""
"12131","AIDA Committee","aida committee",""
"12132","Vereniging Innovatieve Geneesmiddelen","vereniging innovatieve geneesmiddelen",""
"12133","No Seat at the Table","no seat at the table",""
"12134","Schone Kleren Campagne","schone kleren campagne",""
"12135","Lighting Europe","lighting europe",""
"12136","Eliant","eliant",""
"12137","Habitat for Humanity","habitat for humanity",""
"12138","Community Land Trust","community land trust",""
"12139","Equinet","equinet",""
"12140","KWF","kwf",""
"12141","DAMEN","damen",""
"12142","ERGO Network","ergo network",""
"12143","Collaborative Economy","collaborative economy",""
"12144","Ecostandard","ecostandard",""
"12145","The Shift","the shift",""
"12146","TIC Council","tic council",""
"12147","BIC Group","bic group",""
"12148","The Architects’ Council of Europe","the architects council of europe",""
"12149","ECI Housing for all","eci housing for all",""
"12150","YESclima","yesclima",""
"12151","ESCO","esco",""
"12152","IUT","iut",""
"12153","International Union of Property Owners","international union of property owners",""
"12154","European Housing Forum","european housing forum",""
"12155","Aedes","aedes",""
"12156","Verband der TÜV","verband der tüv",""
"12157","Digital Leadership Institute","digital leadership institute",""
"12158","CEMR","cemr",""
"12159","Meeting Corresponent","meeting corresponent",""
"12160","European Alliance for Responsible R&D and Affordable Medicines","european alliance for responsible r d and affordable medicines",""
"12161","Civil Rights Defenders Belarus","civil rights defenders belarus",""
"12162","NBBU (MKB)","nbbu mkb",""
"12163","Zoologische Gesellschaft Frankfurt","zoologische gesellschaft frankfurt",""
"12164","ESIP","esip",""
"12165","ECI Housing for All","eci housing for all",""
"12166","Stichting de Tussen voorziening","stichting de tussen voorziening",""
"12167","Vereniging van Nederlandse Gemeenten","vereniging van nederlandse gemeenten",""
"12168","Stichting AAP","stichting aap",""
"12169","Vereniging Nederlandse Gemeenten","vereniging nederlandse gemeenten",""
"12170"," Medef","medef",""
"12171","SWP","swp",""
"12172","Fédération Nationale Bovine","fédération nationale bovine",""
"12173","CEFS - Comité Européen des Fabricants de Sucre","cefs comité européen des fabricants de sucre",""
"12174","Afruibana","afruibana",""
"12175","SYNABIO","synabio",""
"12176","Compagnie Nationale des Conseils en Propriété intédustrielle","compagnie nationale des conseils en propriété intédustrielle",""
"12177","Téréos","téréos",""
"12178","CITI","citi",""
"12179","Fondapol","fondapol",""
"12180","Euroalliages","euroalliages",""
"12181","TEVA","teva",""
"12182","Eurogroup For Animals","eurogroup for animals",""
"12183","FNIL - Fédération nationale de l’industrie laitière","fnil fédération nationale de l industrie laitière",""
"12184","Adie","adie",""
"12185","Club des Grandes entreprises","club des grandes entreprises",""
"12186","Représentation européenne des Institutions francaises de Sécurité sociale","représentation européenne des institutions francaises de sécurité sociale",""
"12187","Medef","medef",""
"12188","Fédération des Exportateurs de Vins et Spiritueux de France","fédération des exportateurs de vins et spiritueux de france",""
"12189","Association Nationale des Pôles territoriaux et des Pays","association nationale des pôles territoriaux et des pays",""
"12190","Groupe Renault","groupe renault",""
"12191","Confédération générale des planteurs de betteraves","confédération générale des planteurs de betteraves",""
"12192","Eurodom","eurodom",""
"12193","Foreign Economic Relations Board of Turkey - DEIK","foreign economic relations board of turkey deik",""
"12194","E3P0","e3p0",""
"12195","Institut Delors","institut delors",""
"12196","Fern - Forest and Trade compaigner","fern forest and trade compaigner",""
"12197","AmCham UE","amcham ue",""
"12198","BIC","bic",""
"12199","U2P","u2p",""
"12200","Agence Erasmus +","agence erasmus",""
"12201","Air-France - KLM","air france klm",""
"12202","AEGIS Europe","aegis europe",""
"12203","CERAME-UNIE","cerame unie",""
"12204","SYNALAF","synalaf",""
"12205"," ERPA","erpa",""
"12206","Syndicat du Sucre de la Réunion","syndicat du sucre de la réunion",""
"12207","Syndicat National de l'Edition","syndicat national de l edition",""
"12208","Syndicat national de l'édition","syndicat national de l édition",""
"12209"," Fédération des éditeurs européens","fédération des éditeurs européens",""
"12210"," Dansk Byggeri","dansk byggeri",""
"12211","Syngenta","syngenta",""
"12212","System Capital Management","system capital management",""
"12213","Tænketanken EUROPA","tænketanken europa",""
"12214","Takeda Romania","takeda romania",""
"12215","Tanobis","tanobis",""
"12216","Tapaaminen JP Kaleva Neogames","tapaaminen jp kaleva neogames",""
"12217"," Petri Hyökyranta Rovio ja Hannu Partanen Supercell.","petri hyökyranta rovio ja hannu partanen supercell",""
"12218","Tapaaminen Teemu Ropponen","tapaaminen teemu ropponen",""
"12219"," Antti ”Jogi” Poikola","antti jogi poikola",""
"12220"," Viivi Lähteenoja","viivi lähteenoja",""
"12221"," MyData","mydata",""
"12222","Tatyana Panova","tatyana panova",""
"12223","Taylor&Francis","taylor francis",""
"12224","Telefónica","telefónica",""
"12225","Telefónica España","telefónica españa",""
"12226","Telefonica SA","telefonica sa",""
"12227","Telekom","telekom",""
"12228","Telia CEO Heli Partanen","telia ceo heli partanen",""
"12229","Terreos","terreos",""
"12230","Test Biotech","test biotech",""
"12231","Teva Pharmaceutical","teva pharmaceutical",""
"12232","Thales","thales",""
"12233","The Alliance for Beverage Cartons and the Environment (ACE)","the alliance for beverage cartons and the environment ace",""
"12234"," Confederation of European Paper Industries (Cepi)","confederation of european paper industries cepi",""
"12235"," Cepi ContainerBoard (CCB)","cepi containerboard ccb",""
"12236"," The International Confederation of Paper and Board Converters in Europe (CITPA)","the international confederation of paper and board converters in europe citpa",""
"12237"," European Federation of Corrugated Board Manufacturers (FEFCO)","european federation of corrugated board manufacturers fefco",""
"12238"," 72279144480-58","72279144480 58",""
"12239","The APP Association","the app association",""
"12240","The Association for a Professional Accommodation and Tourism","the association for a professional accommodation and tourism",""
"12241","The Association for Emissions Control by Catalyst","the association for emissions control by catalyst",""
"12242","The Central Union of Agricultural Producers and Forest Owners (56039441735-48)","the central union of agricultural producers and forest owners 56039441735 48",""
"12243","The Community of European Railway and Infrastructure Companies (CER)","the community of european railway and infrastructure companies cer",""
"12244","The European Association for Electromobility (AVERE)","the european association for electromobility avere",""
"12245"," 269727723042-29","269727723042 29",""
"12246","The European Association for Storage of Energy","the european association for storage of energy",""
"12247","Kurdish Friendship Group","kurdish friendship group",""
"12248","The European Association for Storage of Energy (EASE)","the european association for storage of energy ease",""
"12249","LGBT Danmark","lgbt danmark",""
"12250","Ambassador Hassassian","ambassador hassassian",""
"12251","the European Broadcasting Union","the european broadcasting union",""
"12252","Bente Sorgenfrey","bente sorgenfrey",""
"12253","Simon Redder","simon redder",""
"12254"," 3F","3f",""
"12255","Luca Vicentini","luca vicentini",""
"12256"," generalsekretær ETUC","generalsekretær etuc",""
"12257","The European Chemical Industry Council (CEFIC)","the european chemical industry council cefic",""
"12258","the European Coalition for Cultural Diversity","the european coalition for cultural diversity",""
"12259"," generalsekretær for ETUC","generalsekretær for etuc",""
"12260","<U+200E>Oplysningsforbundet DEO","oplysningsforbundet deo",""
"12261","Climate Action Network (CAN) Europe","climate action network can europe",""
"12262","LO Horsens-Hedensted","lo horsens hedensted",""
"12263","Fagbevægelsens Hovedorganisation","fagbevægelsens hovedorganisation",""
"12264","ETUC - European Trade Union Confederation","etuc european trade union confederation",""
"12265","The European Consumer Organisation (BEUC) & Sveriges Konsumenter","the european consumer organisation beuc sveriges konsumenter",""
"12266"," European Federation of Building and WoodWorkers","european federation of building and woodworkers",""
"12267","Den norske EU-ambassadør","den norske eu ambassadør",""
"12268","Back-on-Track.eu","back on track eu",""
"12269","Det catalanske venstrefløjsparti","det catalanske venstrefløjsparti",""
"12270"," ERC","erc",""
"12271","Den palæstinensiske ambassade","den palæstinensiske ambassade",""
"12272","NOAH - Friends of the Earth","noah friends of the earth",""
"12273","Dansk Flygtningehjælp","dansk flygtningehjælp",""
"12274","Dansk Socialrådgiverforening","dansk socialrådgiverforening",""
"12275","Fagforbundet 3F","fagforbundet 3f",""
"12276","Wind Denmark","wind denmark",""
"12277","Folkekirkens Nødhjælp","folkekirkens nødhjælp",""
"12278"," Dansk Metal & Blik og Rør","dansk metal blik og rør",""
"12279","Danmarks Lærerforening","danmarks lærerforening",""
"12280","Fagbevægelsens Hovedorganisation og Dansk Arbejdsgiverforening","fagbevægelsens hovedorganisation og dansk arbejdsgiverforening",""
"12281","Members of Central Denmark EU Office","members of central denmark eu office",""
"12282","European Biosafety Network","european biosafety network",""
"12283","The European Consumer Organisation (BUEC)","the european consumer organisation buec",""
"12284","The European Environmental Bureau EEB","the european environmental bureau eeb",""
"12285","Wolt","wolt",""
"12286","Flyvebranchens Personale Union","flyvebranchens personale union",""
"12287","Biosaftely Network","biosaftely network",""
"12288","Novo Nordisk","novo nordisk",""
"12289","NNF","nnf",""
"12290","Skandinavisk Transport Center","skandinavisk transport center",""
"12291","Palles Fragt A/S","palles fragt a s",""
"12292","MAN Energy Solutions","man energy solutions",""
"12293","CPH Airport","cph airport",""
"12294","Specialisterne","specialisterne",""
"12295","Adserballe & Knudsen A/S","adserballe knudsen a s",""
"12296","Danske Rederier","danske rederier",""
"12297","Rønne Havn","rønne havn",""
"12298"," LO Norge","lo norge",""
"12299"," FIN Unions","fin unions",""
"12300","Landboforeninger Skanderborg Odder","landboforeninger skanderborg odder",""
"12301","Mission of Thailand to the EU","mission of thailand to the eu",""
"12302","Den danske delegation til Det Europæiske Regionsudvalg","den danske delegation til det europæiske regionsudvalg",""
"12303","Rådet for Grøn Omstilling","rådet for grøn omstilling",""
"12304","EULAR","eular",""
"12305","Fuels Europe","fuels europe",""
"12306","Norwegian Enterprise (NHO)","norwegian enterprise nho",""
"12307","DA afd. for Integration og Kvalifikationer","da afd for integration og kvalifikationer",""
"12308","EHRENBERG SØRENSEN Kommunikation","ehrenberg sørensen kommunikation",""
"12309","HK/Privat Sjælland","hk privat sjælland",""
"12310","Syddansk Universitet Institut for entreprenørskab","syddansk universitet institut for entreprenørskab",""
"12311","3F’s Europaudvalg","3f s europaudvalg",""
"12312","HK Trafik & Jernbane","hk trafik jernbane",""
"12313","Copenhagen 2021","copenhagen 2021",""
"12314","Danske Handicaporganisationer","danske handicaporganisationer",""
"12315","Dansk Rederier","dansk rederier",""
"12316","Region Midtjylland","region midtjylland",""
"12317","Flybranchens Personale Union","flybranchens personale union",""
"12318"," Dansk Arbejdsgiverforening","dansk arbejdsgiverforening",""
"12319"," Landbrug og Fødevarer","landbrug og fødevarer",""
"12320","SJ","sj",""
"12321","Landbrug & Fødevarer","landbrug fødevarer",""
"12322"," Danmarks Fiskeriforening","danmarks fiskeriforening",""
"12323","Sailab – MedTech Finland ry","sailab medtech finland ry",""
"12324","Energiateollisuus ry","energiateollisuus ry",""
"12325","MTK ry","mtk ry",""
"12326"," Metsäteollisuus ry","metsäteollisuus ry",""
"12327","Suomen Yrittäjät ry","suomen yrittäjät ry",""
"12328","European Telecommunications Network Operators’ Association","european telecommunications network operators association",""
"12329","Aalto-yliopisto","aalto yliopisto",""
"12330","Päijät-Hämeen Yrittäjä ry","päijät hämeen yrittäjä ry",""
"12331","British Embassy in Finland","british embassy in finland",""
"12332","SME Europe","sme europe",""
"12333","5G Automotive Association (5GAA)","5g automotive association 5gaa",""
"12334"," Euractiv","euractiv",""
"12335","JAMK","jamk",""
"12336","Regional Council's of Western Finland","regional council s of western finland",""
"12337","Helsinki Chamber of Commerce","helsinki chamber of commerce",""
"12338",": Suomen Biokierto ja Biokaasu ry","suomen biokierto ja biokaasu ry",""
"12339"," Energigas Sverige","energigas sverige",""
"12340"," Biogas Danmark","biogas danmark",""
"12341"," Energigass Norge","energigass norge",""
"12342"," European Biogas Association","european biogas association",""
"12343","Regional Council of Central Finland","regional council of central finland",""
"12344","Lempäälän Energia Oy","lempäälän energia oy",""
"12345","Finnish Composers’ Copyright Society Teosto","finnish composers copyright society teosto",""
"12346","Metsäteollisyys ry","metsäteollisyys ry",""
"12347","CaaS Nordic","caas nordic",""
"12348","Tekniikan Akateemiset","tekniikan akateemiset",""
"12349","University of Jyväskylä","university of jyväskylä",""
"12350","Osuustoimintakeskus Pellervo ry","osuustoimintakeskus pellervo ry",""
"12351","Musiikintuottajat (IFPI Finland)","musiikintuottajat ifpi finland",""
"12352","Permanent Representation of Estonia to the European Union","permanent representation of estonia to the european union",""
"12353","CSC - IT Center for Science","csc it center for science",""
"12354","Teknologiateollisuus ry","teknologiateollisuus ry",""
"12355"," Sivistystyönantajat ry","sivistystyönantajat ry",""
"12356","Finnish Forest Industries","finnish forest industries",""
"12357","ESBA","esba",""
"12358","The European Long-Term Investors Association","the european long term investors association",""
"12359","The European LPG Association / General manager","the european lpg association general manager",""
"12360","the European Portable Battery Association","the european portable battery association",""
"12361"," Transparency register: 71549072613-57","transparency register 71549072613 57",""
"12362","The European Recycling Industries’ Confederation (EuRIC)","the european recycling industries confederation euric",""
"12363","GasGrid","gasgrid",""
"12364","the Finnish Commerce Federation","the finnish commerce federation",""
"12365","SAMOK ry","samok ry",""
"12366","The Federation of Finnish Technology Industries (Teknologiateollisuus)","the federation of finnish technology industries teknologiateollisuus",""
"12367","Ministry of Transport and Communications in Finland (Liikenne- ja viestintäministeriö)","ministry of transport and communications in finland liikenne ja viestintäministeriö",""
"12368"," Permanent Representation of Finland to the EU (Suomen pysyvä edustusto Euroopan unionissa)","permanent representation of finland to the eu suomen pysyvä edustusto euroopan unionissa",""
"12369","Swedish Taxi Association","swedish taxi association",""
"12370"," Touchpoint","touchpoint",""
"12371"," SOK","sok",""
"12372","Metsäverkosto","metsäverkosto",""
"12373","Tampere and Pirkanmaa regional office","tampere and pirkanmaa regional office",""
"12374","Digitaleurope","digitaleurope",""
"12375","Finnish Commerce Federation (Kaupan liitto)","finnish commerce federation kaupan liitto",""
"12376"," Finnish customer association (Kuluttajaliitto)","finnish customer association kuluttajaliitto",""
"12377","Hybrid CoE","hybrid coe",""
"12378","Norwegian Members of Parliament from Høyre","norwegian members of parliament from høyre",""
"12379","OLAF","olaf",""
"12380","University of Oulu researchers","university of oulu researchers",""
"12381","University of Helsinki researchers","university of helsinki researchers",""
"12382","Finnish chemical industry (Kemianteollisuus)","finnish chemical industry kemianteollisuus",""
"12383","Finnish Energy (Energiateollisuus)","finnish energy energiateollisuus",""
"12384","Finnish technology industry (Teknologiateollisuus)","finnish technology industry teknologiateollisuus",""
"12385","Federation of Finnish Enterprises (Suomen Yrittäjät)","federation of finnish enterprises suomen yrittäjät",""
"12386","Confederation of Danish industry","confederation of danish industry",""
"12387"," Confederation of Norwegian Enterprice","confederation of norwegian enterprice",""
"12388"," Elinkeinoelämän keskusliitto EK","elinkeinoelämän keskusliitto ek",""
"12389","Universities UK International","universities uk international",""
"12390","Cefic","cefic",""
"12391","Elinkeinoelämän keskusliitto EK","elinkeinoelämän keskusliitto ek",""
"12392","Kansallinen sivistysliitto","kansallinen sivistysliitto",""
"12393","CSC IT","csc it",""
"12394","University of Eastern Finland","university of eastern finland",""
"12395","The Finnish innovation Fund / SITRA","the finnish innovation fund sitra",""
"12396"," Markus Kalliola","markus kalliola",""
"12397"," Heli Parikka","heli parikka",""
"12398"," Laura Helenius","laura helenius",""
"12399","the Finnish Innovation Fund Sitra","the finnish innovation fund sitra",""
"12400","Elisa","elisa",""
"12401","MaaS","maas",""
"12402","OAJ","oaj",""
"12403","Akava","akava",""
"12404","Docrates","docrates",""
"12405","The Finnish Perm. Rep. / Kristiina Pietikäinne","the finnish perm rep kristiina pietikäinne",""
"12406","The Generalised Scheme of Preferences (GSP) Platform","the generalised scheme of preferences gsp platform",""
"12407","SYL+SAMOK","syl samok",""
"12408","Lääketeollisuus","lääketeollisuus",""
"12409","Länsi-Suomen kuljetusyrittäjät","länsi suomen kuljetusyrittäjät",""
"12410","DG Ener","dg ener",""
"12411","The German Association of the Automotive Industry","the german association of the automotive industry",""
"12412","Parkkisähkö","parkkisähkö",""
"12413","EK","ek",""
"12414"," Kemianteollisuus","kemianteollisuus",""
"12415"," Sivistystyönantajat","sivistystyönantajat",""
"12416"," Palta","palta",""
"12417","The Global Legal Entity Identifier Foundation (GLEIF)","the global legal entity identifier foundation gleif",""
"12418","Suomen Yrittäjät","suomen yrittäjät",""
"12419","The Green Tank Greece","the green tank greece",""
"12420","The information Technology Industry Council","the information technology industry council",""
"12421","EK/SKAL","ek skal",""
"12422","Biotech","biotech",""
"12423","The Luxembourg Bankers' Association (ABBL)","the luxembourg bankers association abbl",""
"12424","Metsägroup","metsägroup",""
"12425","The Luxembourg Bankers’ Association (ABBL)","the luxembourg bankers association abbl",""
"12426","the Motion Picture Association (MPA)","the motion picture association mpa",""
"12427","The Netherlands permanent representation to the EU","the netherlands permanent representation to the eu",""
"12428","The Permanent Mission of Switzerland to the European Union","the permanent mission of switzerland to the european union",""
"12429","FIVA","fiva",""
"12430","Itä- ja Pohjois-Suomen maakuntajohtajat","itä ja pohjois suomen maakuntajohtajat",""
"12431","THE PERMANENT REPRESENTATION OF DENMARK TO THE EU","the permanent representation of denmark to the eu",""
"12432","MartensCentre","martenscentre",""
"12433","Kaupan liitto","kaupan liitto",""
"12434","ETTSA","ettsa",""
"12435","Europe<U+2764><U+FE0F>Startups","europe <U+FE0F>startups",""
"12436","SKAL","skal",""
"12437","Austrian National Bank","austrian national bank",""
"12438","Austrian Ministry of Justice","austrian ministry of justice",""
"12439","NGO Inject","ngo inject",""
"12440","NGO Are you Syrious","ngo are you syrious",""
"12441","NGO Oxfam","ngo oxfam",""
"12442"," NGO Action Aid","ngo action aid",""
"12443"," NGO Transpareny International","ngo transpareny international",""
"12444"," NGO Eurodad","ngo eurodad",""
"12445","NGO Solidarnost Association","ngo solidarnost association",""
"12446"," NGO Women from Una","ngo women from una",""
"12447"," NGO Red Cross","ngo red cross",""
"12448","NGO Civil Right Defenders","ngo civil right defenders",""
"12449","AK (Austrian Federal Chamber of Labour)","ak austrian federal chamber of labour",""
"12450","BMI (Austrian Federal Ministry of the Interior)","bmi austrian federal ministry of the interior",""
"12451","The Austrian Chamber of Law Notaries","the austrian chamber of law notaries",""
"12452","NGO Sea-Watch","ngo sea watch",""
"12453"," NGO Jugend Rettet","ngo jugend rettet",""
"12454"," NGO rescue ship","ngo rescue ship",""
"12455"," NGO SOS Méditerranée","ngo sos méditerranée",""
"12456"," NGO Flüchtlingsrat Niedersachsen","ngo flüchtlingsrat niedersachsen",""
"12457","Yezidi Unterstützungsfond e.V (YUF)","yezidi unterstützungsfond e v yuf",""
"12458","Union ""younion""","union younion",""
"12459","WKÖ (Austrian Economic Chamber)","wkö austrian economic chamber",""
"12460","Austrian Associatoin for Public and Social Economy","austrian associatoin for public and social economy",""
"12461","Industriellenvereinigung (Federation of Austrian Industries)","industriellenvereinigung federation of austrian industries",""
"12462","NGO Acri","ngo acri",""
"12463"," NGO Btselem","ngo btselem",""
"12464"," NGO Mossawa","ngo mossawa",""
"12465"," Hotline for refugees","hotline for refugees",""
"12466"," NGO Yesh Din","ngo yesh din",""
"12467","ÖGB (Austrian Trade Union Federation)","ögb austrian trade union federation",""
