"","full.name","regex"
"6806","International Federation of Aeronautical Information Management Associations (IFAIMA)","international federation of aeronautical information management associations (ifaima)"
"6807","Confederazione Europea di unità dei quadri -dirigenti- liberi professionisti (CEUQ)","confederazione europea di unità dei quadri -dirigenti- liberi professionisti (ceuq)"
"6808","Wereldsolidariteit - Solidarité Mondiale vzw (WSM)","wereldsolidariteit - solidarité mondiale vzw (wsm)"
"6809","Transport and Environment (European Federation for Transport and Environment) (T&E)","transport and environment (european federation for transport and environment) (t&e)"
"6810","European Cargo Alliance (ECA)","european cargo alliance (eca)"
"6811","WALA Heilmittel GmbH (WALA)","wala heilmittel gmbh (wala)"
"6812","Bundesverband der Deutschen Kalkindustrie e.V. (BVK)","bundesverband der deutschen kalkindustrie e.v. (bvk)"
"6813","Association Générale des Producteurs de Maïs (A.G.P.M.)","association générale des producteurs de maïs (a.g.p.m.)"
"6814","Fédérations des Professionnels de la Piscine et du Spa (FPP)","fédérations des professionnels de la piscine et du spa (fpp)"
"6815","SIDENOR STEEL INDUSTRY S.A. (SIDENOR S.A.)","sidenor steel industry s.a. (sidenor s.a.)"
"6816","KWS SAAT SE & Co. KGaA (KWS)","kws saat se & co. kgaa (kws)"
"6817","Liquideo (AKIVA) (Liquideo (AKIVA))","liquideo (akiva) (liquideo (akiva))"
"6818","Agroinsider Lda (AI)","agroinsider lda (ai)"
"6819","Sidenor Investigación y Desarrollo S.A. (Sidenor I+D)","sidenor investigación y desarrollo s.a. (sidenor i+d)"
"6820","European Chiropractors' Union (ECU)","european chiropractors' union (ecu)"
"6821","Fundació privada per a la Xarxa Oberta, Lliure i Neutral, guifi.net","fundació privada per a la xarxa oberta, lliure i neutral, guifi.net"
"6822","ABRAÇO (ABRAÇO)","abraço (abraço)"
"6823","Peri-Urban Regions Platform Europe (PURPLE)","peri-urban regions platform europe (purple)"
"6824","Association of European Cancer Leagues (ECL)","association of european cancer leagues (ecl)"
"6825","EUROPEAN FEDERATION OF BUILDING AND WOODWORKERS (EFBWW)","european federation of building and woodworkers (efbww)"
"6826","Union of European Beverages Association (UNESDA)","union of european beverages association (unesda)"
"6827","TEREOS","tereos"
"6828","Reitter Wasserkraftanlagen GmbH&Co.KG","reitter wasserkraftanlagen gmbh&co.kg"
"6829","Latvijas dzelzcelš (LDz)","latvijas dzelzcelš (ldz)"
"6830","Arbeitsgemeinschaft der deutschen Familienorganisationen e.V. (AGF)","arbeitsgemeinschaft der deutschen familienorganisationen e.v. (agf)"
"6831","Social Business City Barcelona (SBC)","social business city barcelona (sbc)"
"6832","BUSINESSEUROPE","businesseurope"
"6833","Brussels Interns NGO (B!ngo)","brussels interns ngo (b!ngo)"
"6834","Zavod Casoris","zavod casoris"
"6835","EUROPEAN BUSINESS AVIATION ASSOCIATION (EBAA)","european business aviation association (ebaa)"
"6836","International Publishers Association (IPA)","international publishers association (ipa)"
"6837","Deutsche Energie-Agentur (dena) (dena)","deutsche energie-agentur (dena) (dena)"
"6838","Fédération de Seine-et-Marne pour la Pêche et la Protection du Milieu Aquatique (FDAAPPMA77)","fédération de seine-et-marne pour la pêche et la protection du milieu aquatique (fdaappma77)"
"6839","European Bioplastics (EUBP)","european bioplastics (eubp)"
"6840","Bundesgeschäftsstelle Landesbausparkassen im Deutschen Sparkassen und Giroverband e. V.","bundesgeschäftsstelle landesbausparkassen im deutschen sparkassen und giroverband e. v."
"6841","VOTUM Verband Unabhängiger Finanzdienstleistungs-Unternehmen in Europa e. V.","votum verband unabhängiger finanzdienstleistungs-unternehmen in europa e. v."
"6842","Best for Britain (B4B)","best for britain (b4b)"
"6843","Equalia","equalia"
"6844","Seabery Soluciones S.L (Seabery)","seabery soluciones s.l (seabery)"
"6845","Forest-based Sector Technology Platform (FTP)","forest-based sector technology platform (ftp)"
"6846","European Data Centre Association (EUDCA)","european data centre association (eudca)"
"6847","Europe Air Sports (EAS)","europe air sports (eas)"
"6848","Fédération Label Rouge, IG et STG (FedeLIS)","fédération label rouge, ig et stg (fedelis)"
"6849","Insinööriliitto (Union of Professional Engineers in Finland) (IL)","insinööriliitto (union of professional engineers in finland) (il)"
"6850","Vakuutusväen Liitto VvL ry (VvL)","vakuutusväen liitto vvl ry (vvl)"
"6851","Confédération des Fabricants de Levure de l'Union Européenne (COFALEC)","confédération des fabricants de levure de l'union européenne (cofalec)"
"6852","ARGE – The European Federation of Associations of Locks & Builders Hardware Manufacturers (ARGE)","arge – the european federation of associations of locks & builders hardware manufacturers (arge)"
"6853","Seaborough","seaborough"
"6854","Van de Sant Innovations BV","van de sant innovations bv"
"6855","Whistleblowing International Network (WIN)","whistleblowing international network (win)"
"6856","Greenyard NV (Greenyard)","greenyard nv (greenyard)"
"6857","Lantmännen ekonomisk förening (Lantmännen)","lantmännen ekonomisk förening (lantmännen)"
"6858","Eclipse.org Foundation Inc. (Eclipse Foundation)","eclipse.org foundation inc. (eclipse foundation)"
"6859","4C Services GmbH (4C)","4c services gmbh (4c)"
"6860","European Manufacturers of Autogenous Vaccines & Sera (EMAV e.V.)","european manufacturers of autogenous vaccines & sera (emav e.v.)"
"6861","Suomen tieteellinen kirjastoseura (STKS)","suomen tieteellinen kirjastoseura (stks)"
"6862","Paptic","paptic"
"6863","Assarmatori (AA)","assarmatori (aa)"
"6864","Associação Natureza Portugal (ANP)","associação natureza portugal (anp)"
"6865","Asociación de Empresas de Mantenimiento Integral y Servicios Energéticos (AMI)","asociación de empresas de mantenimiento integral y servicios energéticos (ami)"
"6866","European Federation of Employees in Public Services (EUROFEDOP)","european federation of employees in public services (eurofedop)"
"6867","European Food Emulsifiers Manufacturers Association (EFEMA)","european food emulsifiers manufacturers association (efema)"
"6868","Zentralrat Deutscher Sinti und Roma","zentralrat deutscher sinti und roma"
"6869","thyssenkrupp Steel Europe AG (tk SE)","thyssenkrupp steel europe ag (tk se)"
"6870","APPA Biocarburantes (APPA Biocarburantes)","appa biocarburantes (appa biocarburantes)"
"6871","Chilled Food Association (CFA)","chilled food association (cfa)"
"6872","Accessibility (ACC)","accessibility (acc)"
"6873","ASOCIACION MALDITA CONTRA LA DESINFORMACIÓN, PERIODISMO, EDUCACIÓN, INVESTIGACIÓN Y DATOS EN NUEVOS FORMATOS (Maldita.es)","asociacion maldita contra la desinformación, periodismo, educación, investigación y datos en nuevos formatos (maldita.es)"
"6874","COBATY International","cobaty international"
"6875","European Federation of National Associations of Water Services (EurEau)","european federation of national associations of water services (eureau)"
"6876","European Centre for Ecotoxicology and Toxicology of Chemicals (ECETOC)","european centre for ecotoxicology and toxicology of chemicals (ecetoc)"
"6877","FairFin (FairFin)","fairfin (fairfin)"
"6878","Association of Veterinary Consultants (AVC)","association of veterinary consultants (avc)"
"6879","ITS mobility GmbH (ITSm)","its mobility gmbh (itsm)"
"6880","Netafim Deutschland GmbH","netafim deutschland gmbh"
"6881","ECOVIN Bundesverband ökologischer Weinbau e.V. (ECOVIN)","ecovin bundesverband ökologischer weinbau e.v. (ecovin)"
"6882","Fédération Nationale des Producteurs de Lait (FNPL)","fédération nationale des producteurs de lait (fnpl)"
"6883","Mission 89 (M89)","mission 89 (m89)"
"6884","OMI Polo Español S.A. (OMIE)","omi polo español s.a. (omie)"
"6885","Beam Suntory SL","beam suntory sl"
"6886","Amadeus Capital Partners (Amadeus)","amadeus capital partners (amadeus)"
"6887","Stowarzyszenie Interwencji Prawnej (Association for Legal Intervention) (SIP)","stowarzyszenie interwencji prawnej (association for legal intervention) (sip)"
"6888","Asociación Mediterránea de Peritos de las Tecnologías de la Información y la Comunicación (ASPERTIC)","asociación mediterránea de peritos de las tecnologías de la información y la comunicación (aspertic)"
"6889","UIRR, International Union for Road-Rail Combined Transport (UIRR)","uirr, international union for road-rail combined transport (uirr)"
"6890","European Lecithin Manufacturers Association (ELMA)","european lecithin manufacturers association (elma)"
"6891","International Confederation of European Beet Growers (CIBE)","international confederation of european beet growers (cibe)"
"6892","Groupement des Industries Françaises Aéronautiques et Spatiales (GIFAS)","groupement des industries françaises aéronautiques et spatiales (gifas)"
"6893","CureVac AG","curevac ag"
"6894","GIVMED SHARE MEDICINE SHARE LIFE (GIVMED)","givmed share medicine share life (givmed)"
"6895","Radio Equipment Directive Compliance Association (REDCA)","radio equipment directive compliance association (redca)"
"6896","Sharkproject Austria (SHARKPROJECT)","sharkproject austria (sharkproject)"
"6897","Southern Sparsely Populated Areas network (SSPA)","southern sparsely populated areas network (sspa)"
"6898","Sandbag Climate Campaign CIC (Ember)","sandbag climate campaign cic (ember)"
"6899","FEDERACIÓN ANDALUCÍA ACOGE (ANDALUCÍA ACOGE)","federación andalucía acoge (andalucía acoge)"
"6900","DROG BV","drog bv"
"6901","WindEurope","windeurope"
"6902","SESVanderHave","sesvanderhave"
"6903","European Cooperation Centre","european cooperation centre"
"6904","Pôle de compétitivité Chimie-environnement Auvergne-Rhône-Alpes (AXELERA)","pôle de compétitivité chimie-environnement auvergne-rhône-alpes (axelera)"
"6905","POLLENIZ","polleniz"
"6906","AQUA - Association Européenne des Fabricants de Compteurs d’Eau et d’Energie Thermique (AQUA)","aqua - association européenne des fabricants de compteurs d’eau et d’energie thermique (aqua)"
"6907","enercity AG","enercity ag"
"6908","Commercial Real Estate Finance Council Europe (CREFC Europe)","commercial real estate finance council europe (crefc europe)"
"6909","Northern Ireland Environment Link (NIEL)","northern ireland environment link (niel)"
"6910","Via Verde Portugal, Gestão de Sistemas Electrónicos de Cobrança, S.A. (VVP)","via verde portugal, gestão de sistemas electrónicos de cobrança, s.a. (vvp)"
"6911","Recreational Craft Sectoral Group (RSG)","recreational craft sectoral group (rsg)"
"6912","European Food Law Association (EFLA-AEDA)","european food law association (efla-aeda)"
"6913","Latvijas Tirdzniecibas un rupniecibas kamera (LTRK)","latvijas tirdzniecibas un rupniecibas kamera (ltrk)"
"6914","European Sustainable Development Network Association (ESDN)","european sustainable development network association (esdn)"
"6915","Private Mills Germany e.V. (PMG)","private mills germany e.v. (pmg)"
"6916","European Federation of Tourist Guide Associations (FEG)","european federation of tourist guide associations (feg)"
"6917","FORWARD THINKING (FT)","forward thinking (ft)"
"6918","Nuprint Technologies Ltd","nuprint technologies ltd"
"6919","International Valuation Standards Council (IVSC)","international valuation standards council (ivsc)"
"6920","Turkish Chamber of Shipping (IMEAK DTO)","turkish chamber of shipping (Imeak dto)"
"6921","Plasma Protein Therapeutics Association Europe, international Association without lucrative purpose (PPTA Europe aisbl)","plasma protein therapeutics association europe, international association without lucrative purpose (ppta europe aisbl)"
"6922","European Union Road Federation (ERF)","european union road federation (erf)"
"6923","European PVC Window Profiles and related Building Products Association (EPPA)","european pvc window profiles and related building products association (eppa)"
"6924","Impala","impala"
"6925","Udruga za zaštitu prava potrošaca ""Splitski potrošac"" - Split","udruga za zaštitu prava potrošaca ""splitski potrošac"" - split"
"6926","WeMove Europe gGmbH (WeMove Europe)","wemove europe ggmbh (wemove europe)"
"6927","European Network of Medical Residents in Public Health (EuroNet MRPH)","european network of medical residents in public health (euronet mrph)"
"6928","Europäische Vereinigung der Binnenschiffer e.V.- anerkannter Berufsverband (EVdB)","europäische vereinigung der binnenschiffer e.v.- anerkannter berufsverband (evdb)"
"6929","Associazione Nazionale Consulenti Tributari (A.N.CO.T.)","associazione nazionale consulenti tributari (a.n.co.t.)"
"6930","Fundación Aula de Cine Colección Josep M. Queraltó (FACCJMQ)","fundación aula de cine colección josep m. queraltó (faccjmq)"
"6931","Polski Zwiazek Zarzadzania Wierzytelnosciami (PZZW)","polski zwiazek zarzadzania wierzytelnosciami (pzzw)"
"6932","European Federation for Construction Chemicals (EFCC)","european federation for construction chemicals (efcc)"
"6933","EUROPEAN FINANCIAL PLANNING ASSOCIATION (EFPA)","european financial planning association (efpa)"
"6934","Comité Européen de l'Outillage e.V. (CEO)","comité européen de l'outillage e.v. (ceo)"
"6935","Human Rights Defenders (HRD)","human rights defenders (hrd)"
"6936","Bund Ökologische Lebensmittelwirtschaft e.V. (BÖLW)","bund ökologische lebensmittelwirtschaft e.v. (bölw)"
"6937","Zwiazek Producentów Audio Video (ZPAV)","zwiazek producentów audio video (zpav)"
"6938","European Society for Immunodeficiencies (ESID)","european society for immunodeficiencies (esid)"
"6939","Instytut Komunikacji Miedzykulturowej i Studiów Interdyscyplinarnych SILK ROAD / The Institute for Intercultural Communication and Interdisciplinary Studies SILK ROAD (IKMiSI SILK ROAD)","instytut komunikacji miedzykulturowej i studiów interdyscyplinarnych silk road / the institute for intercultural communication and interdisciplinary studies silk road (ikmisi silk road)"
"6940","European Union of the Deaf Youth (EUDY)","european union of the deaf youth (eudy)"
"6941","European Company Lawyers Association (ECLA)","european company lawyers association (ecla)"
"6942","European Solar Thermal Electricity Association (ESTELA)","european solar thermal electricity association (estela)"
"6943","European Parliamentary Forum on Population and Development (EPF)","european parliamentary forum on population and development (epf)"
"6944","KONE Corporation","kone corporation"
"6945","Charitable Foundation Children with Spinal Muscular Atrophy (CSMA)","charitable foundation children with spinal muscular atrophy (csma)"
"6946","Bundesverband der Deutschen Ziegelindustrie e.V. (ZIEGEL)","bundesverband der deutschen ziegelindustrie e.v. (ziegel)"
"6947","J. M. Voith SE & Co. KG (Voith)","j. m. voith se & co. kg (voith)"
"6948","European Security Group (ESG)","european security group (esg)"
"6949","Associazione Italia-ASEAN (ITASEAN)","associazione italia-asean (itasean)"
"6950","Lithuanian Agriculture Council (LAC)","lithuanian agriculture council (lac)"
"6951","Asociación Española Contra el Cáncer (AECC)","asociación española contra el cáncer (aecc)"
"6952","European network for community-led initiatives on climate change and sustainability (ECOLISE)","european network for community-led initiatives on climate change and sustainability (ecolise)"
"6953","European Geriatric Medicine Society (EuGMS)","european geriatric medicine society (eugms)"
"6954","Valio Oy (Valio Oy)","valio oy (valio oy)"
"6955","European Blind Union (EBU)","european blind union (ebu)"
"6956","Forum Nachhaltige Geldanlagen (FNG)","forum nachhaltige geldanlagen (fng)"
"6957","Federbeton","federbeton"
"6958","Abta - The Travel Association (ABTA)","abta - the travel association (abta)"
"6959","UNION DE PETROLEROS INDEPENDIENTES (UPI)","union de petroleros independientes (upi)"
"6960","The Blackstone Group","the blackstone group"
"6961","International Federation of Journalists (IFJ)","international federation of journalists (ifj)"
"6962","Romanian Investor Relations Association (ARIR)","romanian investor relations association (arir)"
"6963","Rural Support for Europe (RISE) Foundation (RISE)","rural support for europe (rise) foundation (rise)"
"6964","GoEuro Travel GmbH (Omio)","goeuro travel gmbh (omio)"
"6965","Rinnakkaislääketeollisuus ry","rinnakkaislääketeollisuus ry"
"6966","Lääketeollisuus ry","lääketeollisuus ry"
"6967","Centrica (CEN)","centrica (cen)"
"6968","Velocys PLC (VLS)","velocys plc (vls)"
"6969","Rubinum SA","rubinum sa"
"6970","DROIT AU DROIT (DAD)","droit au droit (dad)"
"6971","European Council for Automotive R&D (EUCAR)","european council for automotive r&d (eucar)"
"6972","Technical Committee of Petroleum Additive Manufacturers in Europe AISBL (ATC)","technical committee of petroleum additive manufacturers in europe aisbl (atc)"
"6973","PAPACKS Green Holding (PAPACKS)","papacks green holding (papacks)"
"6974","Greek Association of Renewable Electricity Producers (GAREP)","greek association of renewable electricity producers (garep)"
"6975","AustroCel Hallein GmbH","austrocel hallein gmbh"
"6976","Croatian Crop Protection association (CROCPA)","croatian crop protection association (crocpa)"
"6977","Reporters sans frontières (RSF)","reporters sans frontières (rsf)"
"6978","Tallano Technologie (Tallano)","tallano technologie (tallano)"
"6979","Comisión Española de Ayuda al Refugiado (CEAR)","comisión española de ayuda al refugiado (cear)"
"6980","International Tax Stamp Association (ITSA)","international tax stamp association (itsa)"
"6981","European Shisha Community Alliance (ESCA)","european shisha community alliance (esca)"
"6982","ELEKTRONISCHE SIGARETTEN BOND NEDERLAND (ESIGBOND)","elektronische sigaretten bond nederland (esigbond)"
"6983","Morgan Stanley (MS)","morgan stanley (ms)"
"6984","Metal Packaging Europe External Affairs ASBL (MetalPackagingEurope)","metal packaging europe external affairs asbl (metalpackagingeurope)"
"6985","SME Safety","sme safety"
"6986","Kaspersky","kaspersky"
"6987","Finnish trade union representation to the EU","finnish trade union representation to the eu"
"6988","Deutscher Hopfenwirtschaftsverband e. V.","deutscher hopfenwirtschaftsverband e. v."
"6989","Bundesverband Deutscher Wasserkraftwerke e.V. (BDW)","bundesverband deutscher wasserkraftwerke e.v. (bdw)"
"6990","Fachvereinigung Extruderschaum e.V. (FPX e.V.)","fachvereinigung extruderschaum e.v. (fpx e.v.)"
"6991","Europro (Europro)","europro (europro)"
"6992","ASSOCIATION DES PRODUCTEURS AFRICAINS DE BANANES ET AUTRES FRUITS (AFRUIBANA)","association des producteurs africains de bananes et autres fruits (afruibana)"
"6993","LANXESS AG","lanxess ag"
"6994","Stichting EMCI Register (EMCI Register)","stichting emci register (emci register)"
"6995","Urbaser S.A.","urbaser s.a."
"6996","International Land Coalition (ILC)","international land coalition (ilc)"
"6997","European Kidney Health Alliance (EKHA)","european kidney health alliance (ekha)"
"6998","industriAll European Trade Union (industriAll)","industriall european trade union (industriall)"
"6999","Comité Européen de Coordination (CEC)","comité européen de coordination (cec)"
"7000","Refugees Integrated e.V. (RI)","refugees integrated e.v. (ri)"
"7001","Tieteellisten Seurain Valtuuskunta (TSV Avoin Tiede)","tieteellisten seurain valtuuskunta (tsv avoin tiede)"
"7002","SHS - Stahl-Holding-Saar GmbH&Co.KGaA","shs - stahl-holding-saar gmbh&co.kgaa"
"7003","Confédération Générale du Travail Force Ouvrière (cgt-FO)","confédération générale du travail force ouvrière (cgt-fo)"
"7004","Associazione IBAN (IBAN)","associazione iban (iban)"
"7005","Appia Investments S.r.l.","appia investments s.r.l."
"7006","EUROPEAN NETWORK ON INDEPENDENT LIVING BRUSSELS (ENIL)","european network on independent living brussels (enil)"
"7007","ASOCIATIA CONSUMERS UNITED/CONSUMATORII UNITI","asociatia consumers united/consumatorii uniti"
"7008","National Energy Ombudsmen Network (NEON)","national energy ombudsmen network (neon)"
"7009","Chambre Syndicale de la Facture Instrumentale (CSFI)","chambre syndicale de la facture instrumentale (csfi)"
"7010","The SeaCleaners (TSC)","the seacleaners (tsc)"
"7011","Asociación Impulso Ciudadano (IC)","asociación impulso ciudadano (ic)"
"7012","Koninklijke Nederlandse Toeristenbond ANWB (ANWB)","koninklijke nederlandse toeristenbond anwb (anwb)"
"7013","European Platforms and Stairlifts Association (EPSA)","european platforms and stairlifts association (epsa)"
"7014","Danish Refugee Council Brussels (DRC Brussels)","danish refugee council brussels (drc brussels)"
"7015","European Judicial Training Network (EJTN)","european judicial training network (ejtn)"
"7016","YouthProAktiv (YPA)","youthproaktiv (ypa)"
"7017","Zentralverband der Deutschen Geflügelwirtschaft e.V. (ZDG)","zentralverband der deutschen geflügelwirtschaft e.v. (zdg)"
"7018","Association pour la reconnaissance des droits des personnes homosexuelles et trans à l’immigration et au séjour (ARDHIS)","association pour la reconnaissance des droits des personnes homosexuelles et trans à l’immigration et au séjour (ardhis)"
"7019","Fédération Interprofessionnelle de la Vape (FIVAPE)","fédération interprofessionnelle de la vape (fivape)"
"7020","secunet Security Networks AG","secunet security networks ag"
"7021","Caruna Networks Oy (Caruna)","caruna networks oy (caruna)"
"7022","De Regenboog Groep (RG)","de regenboog groep (rg)"
"7023","Asocuación Kudwa","asocuación kudwa"
"7024","ASSOCIAZIONE LA CASA DI SABBIA ONLUS","associazione la casa di sabbia onlus"
"7025","Nederlandse Publieke Omroep (NPO)","nederlandse publieke omroep (npo)"
"7026","SINDICATO DE ENFERMERIA SATSE (SATSE)","sindicato de enfermeria satse (satse)"
"7027","ETIP ZEP (ZEP)","etip zep (zep)"
"7028","CEMEX, S.A.B. de C.V. (CEMEX)","cemex, s.a.b. de c.v. (cemex)"
"7029","Groupement Europèen de Banques (G.E.B.)","groupement europèen de banques (g.e.b.)"
"7030","European Printing Ink Association (EuPIA)","european printing ink association (eupia)"
"7031","The Royal Swedish Academy of Sciences (RSAS)","the royal swedish academy of sciences (rsas)"
"7032","Coalition Eau","coalition eau"
"7033","ÖKOBÜRO - Allianz der Umweltbewegung (ÖKOBÜRO)","ökobüro - allianz der umweltbewegung (ökobüro)"
"7034","Fédération Française d'Equitation (FFE)","fédération française d'equitation (ffe)"
"7035","Institut Bauen und Umwelt e.V. (IBU)","institut bauen und umwelt e.v. (ibu)"
"7036","OP Ryhmä (OP)","op ryhmä (op)"
"7037","Consorzio Remedia (Consorzio Remedia)","consorzio remedia (consorzio remedia)"
"7038","Italian Banking, Insurance and Finance Federation (FeBAF)","italian banking, insurance and finance federation (febaf)"
"7039","Confederación de Empresas Mineras y Metalúrgicas (CONFEDEM)","confederación de empresas mineras y metalúrgicas (confedem)"
"7040","Stichting Goed Hout & Goed Papier! (FSC Nederland)","stichting goed hout & goed papier! (fsc nederland)"
"7041","Marevivo Onlus (Marevivo)","marevivo onlus (marevivo)"
"7042","European Crowdfunding Network (ECN)","european crowdfunding network (ecn)"
"7043","Essity Aktiebolag (publ) (Essity)","essity aktiebolag (publ) (essity)"
"7044","Efund Group (EFG)","efund group (efg)"
"7045","FoodPLUS GmbH (GLOBALG.A.P.)","foodplus gmbh (globalg.a.p.)"
"7046","MEED Group (sarl à Asso. U.) (MEED-Group)","meed group (sarl à asso. u.) (meed-group)"
"7047","Eurocolour e. V. (Eurocolour)","eurocolour e. v. (eurocolour)"
"7048","União Geral de Trabalhadores (UGT)","união geral de trabalhadores (ugt)"
"7049","GasTerra","gasterra"
"7050","Baby Milk Action  International Baby Food Action Network UK (IBFAN UK)","baby milk action  international baby food action network uk (ibfan uk)"
"7051","Gestamp","gestamp"
"7052","Lithuanian Investors Association (LIA)","lithuanian investors association (lia)"
"7053","Verbond van Verzekeraars / Dutch Association of Insurers","verbond van verzekeraars / dutch association of insurers"
"7054","Volonteurope","volonteurope"
"7055","BSEF - The International Bromine Council (BSEF)","bsef - the international bromine council (bsef)"
"7056","Organisation des Jeunes pour l'Union Européenne et Africaine (OJUE)","organisation des jeunes pour l'union européenne et africaine (ojue)"
"7057","AMUNDI AM","amundi am"
"7058","AlpVision SA","alpvision sa"
"7059","OneKind","onekind"
"7060","Terrence Higgins Trust (THT)","terrence higgins trust (tht)"
"7061","DOS SANTOS (DS)","dos santos (ds)"
"7062","Rapiscan Systems Ltd (RS)","rapiscan systems ltd (rs)"
"7063","Tesco plc (TESCO)","tesco plc (tesco)"
"7064","European Platform for Chemicals Using Manufacturing Industries (CheMI)","european platform for chemicals using manufacturing industries (chemi)"
"7065","Proximus","proximus"
"7066","Association for Innovative Farming (AIF)","association for innovative farming (aif)"
"7067","QED (QED)","qed (qed)"
"7068","UNION INTERNATIONALE DES AVOCATS (UIA)","union internationale des avocats (uia)"
"7069","Pääomasijoittajat ry - Finnish Venture Capital Association (FVCA)","pääomasijoittajat ry - finnish venture capital association (fvca)"
"7070","Europäische Bewegung Deutschland e.V. (Netzwerk EBD)","europäische bewegung deutschland e.v. (netzwerk ebd)"
"7071","SHV Energy NV","shv energy nv"
"7072","Movimento Cultural da Terra de Miranda (MCTM)","movimento cultural da terra de miranda (mctm)"
"7073","Associazione Luca Coscioni (ALC)","associazione luca coscioni (alc)"
"7074","CC-Portugal - Câmara de Comércio e Industria Portuguesa (Câmara de Comércio)","cc-portugal - câmara de comércio e industria portuguesa (câmara de comércio)"
"7075","Trgovinska zbornica Slovenije (TZS)","trgovinska zbornica slovenije (tzs)"
"7076","European Land Registry Association (ELRA)","european land registry association (elra)"
"7077","Aviation Security Services Association - International (ASSA-I)","aviation security services association - international (assa-i)"
"7078","Österreichischer Raiffeisenverband (ÖRV)","österreichischer raiffeisenverband (örv)"
"7079","Association Française des Correspondants à la protection des Données à caractère Personnel (AFCDP)","association française des correspondants à la protection des données à caractère personnel (afcdp)"
"7080","Freier Verband Deutscher Zahnärzte e. V. (FVDZ)","freier verband deutscher zahnärzte e. v. (fvdz)"
"7081","Fédération française des Intégrateurs Electriciens (FFIE)","fédération française des intégrateurs electriciens (ffie)"
"7082","Voimaosakeyhtiö SF (VSF)","voimaosakeyhtiö sf (vsf)"
"7083","The British Antique Dealers' Association (BADA)","the british antique dealers' association (bada)"
"7084","Food and Drink Federation (FDF)","food and drink federation (fdf)"
"7085","Nexera sp. z o.o. (Nexera)","nexera sp. z o.o. (nexera)"
"7086","AFEW International (AFEW)","afew international (afew)"
"7087","Nederlandse Spoorwegen (NS)","nederlandse spoorwegen (ns)"
"7088","Kyowa Kirin Services Ltd","kyowa kirin services ltd"
"7089","Alphadyne Asset Management (UK) LLP (AAM UK)","alphadyne asset management (uk) llp (aam uk)"
"7090","GRESB","gresb"
"7091","Association Technique de l'Industrie Européenne des Lubrifiants (ATIEL)","association technique de l'industrie européenne des lubrifiants (atiel)"
"7092","Oxfam-Magasins du Monde (OMDM)","oxfam-magasins du monde (omdm)"
"7093","Association of Big Industrial Energy Consumers Romania (ABIEC)","association of big industrial energy consumers romania (abiec)"
"7094","Association for the Control of Emissions from Stationary Sources to Air (accessa) (accessa)","association for the control of emissions from stationary sources to air (accessa) (accessa)"
"7095","The Swedish Childhood Cancer Fund","the swedish childhood cancer fund"
"7096","Kaivosteollisuus ry - Finnish Mining Association (FinnMin)","kaivosteollisuus ry - finnish mining association (finnmin)"
"7097","Canadian Pork Council (CPC)","canadian pork council (cpc)"
"7098","Narda Safety Test Solutions GmbH","narda safety test solutions gmbh"
"7099","Condor Flugdienst (Condor)","condor flugdienst (condor)"
"7100","Boettger Food Ingredients GmbH (BFI)","boettger food ingredients gmbh (bfi)"
"7101","Mosaico-azioni per i rifugiati (MAR)","mosaico-azioni per i rifugiati (mar)"
"7102","Association of Learned and Professional Society Publishers (ALPSP)","association of learned and professional society publishers (alpsp)"
"7103","The New Europeans AISBL (NE Aisbl)","the new europeans aisbl (ne aisbl)"
"7104","European Factories of the Future Research Association (EFFRA)","european factories of the future research association (effra)"
"7105","Aktion Pink Deutschland e.V. (Aktion Pink)","aktion pink deutschland e.v. (aktion pink)"
"7106","Les oiseaux de passage","les oiseaux de passage"
"7107","Scholz Recycling GmbH","scholz recycling gmbh"
"7108","Stichting Platform Creatieve Media Industrie (PCMI)","stichting platform creatieve media industrie (pcmi)"
"7109","AICEP Associazione Italiana Consumatori Energia di Processo (AICEP)","aicep associazione italiana consumatori energia di processo (aicep)"
"7110","CDP Venture Capital SGR (CDP Venture Capital)","cdp venture capital sgr (cdp venture capital)"
"7111","Lorenzo Codogno Macro Advisors Ltd (LC-MA)","lorenzo codogno macro advisors ltd (lc-ma)"
"7112","DCSA (DCSA)","dcsa (dcsa)"
"7113","Open Access Scholarly Publishers Association (OASPA)","open access scholarly publishers association (oaspa)"
"7114","European Group for Generic Veterinary Products (EGGVP)","european group for generic veterinary products (eggvp)"
"7115","Promote Ukraine","promote ukraine"
"7116","Belgische Associatie voor Mensenrechten en Ontwikkeling (BAMRO)","belgische associatie voor mensenrechten en ontwikkeling (bamro)"
"7117","European Federation of Waste Management and Environmental Services (FEAD)","european federation of waste management and environmental services (fead)"
"7118","Mouvement Européen-France (ME-F)","mouvement européen-france (me-f)"
"7119","Ardan GmbH (Ardan)","ardan gmbh (ardan)"
"7120","Association Internationale des  Réparateurs en Carrosserie (AIRC)","association internationale des  réparateurs en carrosserie (airc)"
"7121","Mineralölwirtschaftsverband e. V. (MWV)","mineralölwirtschaftsverband e. v. (mwv)"
"7122","N26 (N26)","n26 (n26)"
"7123","Ordem dos Enfermeiros (OE)","ordem dos enfermeiros (oe)"
"7124","INPUD (INPUD)","inpud (inpud)"
"7125","FUNDACION ATENEA GRUPO GID","fundacion atenea grupo gid"
"7126","GEN-I, trgovanje in prodaja elektricne energije, d.o.o.","gen-i, trgovanje in prodaja elektricne energije, d.o.o."
"7127","Association NB-RAIL (NB-RAIL)","association nb-rail (nb-rail)"
